Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,04-12-2016,13162,25,13,328,728,1985
1503960366,4/13/2016,10735,21,19,217,776,1797
1503960366,4/14/2016,10460,30,11,181,1218,1776
1503960366,4/15/2016,9762,29,34,209,726,1745
1503960366,4/16/2016,12669,36,10,221,773,1863
1503960366,4/17/2016,9705,38,20,164,539,1728
1503960366,4/18/2016,13019,42,16,233,1149,1921
1503960366,4/19/2016,15506,50,31,264,775,2035
1503960366,4/20/2016,10544,28,12,205,818,1786
1503960366,4/21/2016,9819,19,8,211,838,1775
1503960366,4/22/2016,12764,66,27,130,1217,1827
1503960366,4/23/2016,14371,41,21,262,732,1949
1503960366,4/24/2016,10039,39,5,238,709,1788
1503960366,4/25/2016,15355,73,14,216,814,2013
1503960366,4/26/2016,13755,31,23,279,833,1970
1503960366,4/27/2016,18134,78,11,243,1108,2159
1503960366,4/28/2016,13154,48,28,189,782,1898
1503960366,4/29/2016,11181,16,12,243,815,1837
1503960366,4/30/2016,14673,52,34,217,712,1947
1503960366,05-01-2016,10602,33,35,246,730,1820
1503960366,05-02-2016,14727,41,15,277,798,2004
1503960366,05-03-2016,15103,50,24,254,816,1990
1503960366,05-04-2016,11100,36,22,203,1179,1819
1503960366,05-05-2016,14070,45,24,250,857,1959
1503960366,05-06-2016,12159,24,6,289,754,1896
1503960366,05-07-2016,11992,37,46,175,833,1821
1503960366,05-08-2016,10060,44,8,203,574,1740
1503960366,05-09-2016,12022,46,11,206,835,1819
1503960366,05-10-2016,12207,46,31,214,746,1859
1503960366,05-11-2016,12770,36,23,251,669,1783
1503960366,05-12-2016,0,0,0,0,1440,0
1624580081,04-12-2016,8163,0,0,146,1294,1432
1624580081,4/13/2016,7007,0,0,148,1292,1411
1624580081,4/14/2016,9107,0,0,236,1204,1572
1624580081,4/15/2016,1510,0,0,96,1344,1344
1624580081,4/16/2016,5370,0,0,176,1264,1463
1624580081,4/17/2016,6175,15,22,127,1276,1554
1624580081,4/18/2016,10536,17,7,202,1214,1604
1624580081,4/19/2016,2916,0,0,141,1299,1435
1624580081,4/20/2016,4974,0,0,151,1289,1446
1624580081,4/21/2016,6349,0,0,186,1254,1467
1624580081,4/22/2016,4026,0,0,199,1241,1470
1624580081,4/23/2016,8538,0,0,227,1213,1562
1624580081,4/24/2016,6076,16,18,185,1221,1617
1624580081,4/25/2016,6497,0,0,202,1238,1492
1624580081,4/26/2016,2826,0,0,140,1300,1402
1624580081,4/27/2016,8367,17,36,154,1233,1670
1624580081,4/28/2016,2759,0,5,115,1320,1401
1624580081,4/29/2016,2390,0,0,150,1290,1404
1624580081,4/30/2016,6474,11,23,224,1182,1655
1624580081,05-01-2016,36019,186,63,171,1020,2690
1624580081,05-02-2016,7155,7,6,166,1261,1497
1624580081,05-03-2016,2100,0,0,96,1344,1334
1624580081,05-04-2016,2193,0,0,118,1322,1368
1624580081,05-05-2016,2470,0,0,117,1323,1370
1624580081,05-06-2016,1727,0,0,102,1338,1341
1624580081,05-07-2016,2104,0,0,182,1258,1474
1624580081,05-08-2016,3427,0,0,152,1288,1427
1624580081,05-09-2016,1732,0,0,91,1349,1328
1624580081,05-10-2016,2969,0,0,139,1301,1393
1624580081,05-11-2016,3134,0,0,112,1328,1359
1624580081,05-12-2016,2971,0,0,107,890,1002
1644430081,04-12-2016,10694,2,51,256,1131,3199
1644430081,4/13/2016,8001,30,16,135,1259,2902
1644430081,4/14/2016,11037,5,58,252,1125,3226
1644430081,4/15/2016,5263,3,4,170,1263,2750
1644430081,4/16/2016,15300,51,42,212,1135,3493
1644430081,4/17/2016,8757,29,13,186,1212,3011
1644430081,4/18/2016,7132,15,33,121,1271,2806
1644430081,4/19/2016,11256,5,58,278,1099,3300
1644430081,4/20/2016,2436,0,0,125,1315,2430
1644430081,4/21/2016,1223,0,0,38,1402,2140
1644430081,4/22/2016,3673,0,0,86,1354,2344
1644430081,4/23/2016,6637,0,15,160,1265,2677
1644430081,4/24/2016,3321,0,0,89,1351,2413
1644430081,4/25/2016,3580,8,1,94,1337,2497
1644430081,4/26/2016,9919,11,41,223,1165,3123
1644430081,4/27/2016,3032,0,0,118,1322,2489
1644430081,4/28/2016,9405,3,53,227,1157,3108
1644430081,4/29/2016,3176,0,0,120,1193,2498
1644430081,4/30/2016,18213,9,71,402,816,3846
1644430081,05-01-2016,6132,3,24,146,908,2696
1644430081,05-02-2016,3758,1,7,148,682,2580
1644430081,05-03-2016,12850,10,94,221,1115,3324
1644430081,05-04-2016,2309,0,0,52,1388,2222
1644430081,05-05-2016,4363,6,12,81,1341,2463
1644430081,05-06-2016,9787,11,6,369,1054,3328
1644430081,05-07-2016,13372,41,17,243,1139,3404
1644430081,05-08-2016,6724,0,0,295,991,2987
1644430081,05-09-2016,6643,32,6,303,1099,3008
1644430081,05-10-2016,9167,12,19,155,1254,2799
1644430081,05-11-2016,1329,0,0,49,713,1276
1844505072,04-12-2016,6697,0,0,339,1101,2030
1844505072,4/13/2016,4929,0,0,248,1192,1860
1844505072,4/14/2016,7937,0,0,373,843,2130
1844505072,4/15/2016,3844,0,0,176,527,1725
1844505072,4/16/2016,3414,0,0,147,1293,1657
1844505072,4/17/2016,4525,2,8,199,1231,1793
1844505072,4/18/2016,4597,0,12,217,1211,1814
1844505072,4/19/2016,197,0,0,10,1430,1366
1844505072,4/20/2016,8,0,0,1,1439,1349
1844505072,4/21/2016,8054,2,13,308,1117,2062
1844505072,4/22/2016,5372,0,0,220,1220,1827
1844505072,4/23/2016,3570,0,0,139,1301,1645
1844505072,4/24/2016,0,0,0,0,1440,1347
1844505072,4/25/2016,0,0,0,0,1440,1347
1844505072,4/26/2016,0,0,0,0,1440,1347
1844505072,4/27/2016,4,0,0,1,1439,1348
1844505072,4/28/2016,6907,0,0,302,1138,1992
1844505072,4/29/2016,4920,0,0,247,1082,1856
1844505072,4/30/2016,4014,0,0,184,218,1763
1844505072,05-01-2016,2573,0,7,75,585,1541
1844505072,05-02-2016,0,0,0,0,1440,1348
1844505072,05-03-2016,4059,0,0,184,1256,1742
1844505072,05-04-2016,2080,0,0,87,1353,1549
1844505072,05-05-2016,2237,0,0,120,1320,1589
1844505072,05-06-2016,44,0,0,2,1438,1351
1844505072,05-07-2016,0,0,0,0,1440,1347
1844505072,05-08-2016,0,0,0,0,1440,1347
1844505072,05-09-2016,0,0,0,0,1440,1347
1844505072,05-10-2016,0,0,0,0,1440,1347
1844505072,05-11-2016,0,0,0,0,1440,1347
1844505072,05-12-2016,0,0,0,0,711,665
1927972279,04-12-2016,678,0,0,55,734,2220
1927972279,4/13/2016,356,0,0,32,986,2151
